,Date,User,Tweet
0,2022-05-06 23:56:22+00:00,dzbb,"@luisitosantos03 LOOK: Marikina City Police, nagsagawa ng Unity Bike Ride para sa isang mapayapang #Eleksyon2022. | via @luisitosantos03 https://t.co/FlwoxPHZLC"
1,2022-05-06 23:53:08+00:00,JuanSakalam,"Paalala sa lahat! ‼️
#Halalan2022 #Eleksyon2022 #WeDecide"
2,2022-05-06 23:44:52+00:00,dzbb,"#Eleksyon2022: Bacolod City Health Office, hindi maglalagay ng vaccination site sa mga polling area sa Lunes, May 09, 2022, araw ng Eleksyon 2022. | via Fritzie Inventor, Barangay FM Bacolod https://t.co/zoJBuECGyh"
3,2022-05-06 23:43:59+00:00,ChimPagtalonia,Final reminders for Election Day. 🇵🇭 #Eleksyon2022 https://t.co/RUQ3GeZPjM
4,2022-05-06 23:42:44+00:00,xii_labs,"ISTIPLERAN DAW ANG SEMUD SA DLI KA HULAT. 

#Eleksyon2022"
5,2022-05-06 23:42:01+00:00,dzbb,"#Eleksyon2022: Mga clustered precinct sa Palawan na nagkaroon ng aberya ang mga vote counting machine (VCM), muling magsasagawa ng final testing &amp; sealing ngayong araw. | via Junfred Calamba, Super Radyo Palawan https://t.co/1MVDNPAbmS"
6,2022-05-06 23:40:24+00:00,daddychub27,"Aminin natin, Du30 was a landslide because we have high hopes in him. LENI will win by landslide because we all know na that our hopes in her, ginagawa nya na in the past 6 years! #LeniLiwanagSaDilim #LeniKiko2022 #Eleksyon2022"
7,2022-05-06 23:40:14+00:00,dzbb,"#Eleksyon2022: Mahigit 6,000 pulis, ipakakalat sa iba't ibang lugar sa Region 12 sa May 09, 2022, araw ng Eleksyon. | via James Plecis, Super Radyo General Santos City https://t.co/Sp2FXvLD3D"
8,2022-05-06 23:37:27+00:00,dzbb,"#Eleksyon2022: Mga vote counting machine (VCM) sa Bongao, Tawi-Tawi, walang naging aberya sa isinagawang final testing &amp; sealing. | via Gamar Aukasa, CMN Tawi-Tawi https://t.co/fqBDf2vQMC"
9,2022-05-06 23:30:23+00:00,dzbb,"#Eleksyon2022: Dalawang vote counting machine (VCM) sa Tuguegarao na nagkaaberya, iminungkahing palitan. | via Michelle Acacio, Barangay FM, Tuguegarao https://t.co/6RL2SdikcE"
10,2022-05-06 23:28:45+00:00,_raphyyy14,"Para sa mga ibobotong Senador ngayong #Eleksyon2022, sana isama po sana natin silang apat. Mga mah napatunayan. #IbaNaman ang iluklok natin sa Senado!"
11,2022-05-06 23:27:08+00:00,mommy_ann7,"This #Eleksyon2022, GMA Regional TV brings you the most comprehensive coverage in your local areas and the whole Philippines. On May 9 &amp; 10, for your Eleksyon 2022-related inquiries, you can call our Help Desks via mobile or landline.
#GMARegionalTV 
#LocalNewsMatters
#DapatTotoo https://t.co/fmjwFiZYFY"
12,2022-05-06 23:26:46+00:00,dzbb,"#Eleksyon2022: Mga balotang gagamitin sa Eleksyon 2022 sa Pasay City, naihatid na sa city hall. | via Mao dela Cruz https://t.co/QfTnzGvBmr"
13,2022-05-06 23:25:11+00:00,dzbb,"#Eleksyon2022: Mga nahuling lumabag sa election gun ban sa lungsod ng Maynila, umabot na sa mahigit 250 indibidwal — Manila Police District (MPD). | via @jhomer_apresto https://t.co/TFAnAZgHnb"
14,2022-05-06 23:23:08+00:00,dzbb,"#Eleksyon2022: Mga pulis sa Marikina City, sama-samang nagbisikleta para sa mapayapang pagdaraos ng Eleksyon 2022. | via @luisitosantos03 https://t.co/zRMMweOqqD"
15,2022-05-06 23:19:10+00:00,MeOnlyMeButMe,"2 days more....but still
#PingLacson is my #President #Eleksyon2022 hindi na magbabago yan. Kesehodang survey yan basta ako kay @senpinglacson parin!!💯🗳☑️"
